metro,sector,college_required_pct,no_college_required_pct
Memphis,Logistics & Transportation,29.2,70.8
Memphis,Healthcare,60.9,39.1
Memphis,Manufacturing,32.0,68.0
Memphis,Retail & Hospitality,10.5,89.5
Memphis,Professional Services,83.3,16.7
Memphis,Technology,78.9,21.1
Memphis,Education,87.7,12.3
Memphis,Financial Services,78.3,21.7
Memphis,Construction,18.6,81.4
Memphis,Government,57.8,42.2
Memphis,Energy & Utilities,55.4,44.6
Memphis,Real Estate,41.4,58.6
Memphis,Media & Entertainment,63.0,37.0
Memphis,Non-Profit,65.7,34.3
Charlotte,Financial Services,76.1,23.9
Charlotte,Healthcare,65.0,35.0
Charlotte,Technology,75.5,24.5
Charlotte,Professional Services,82.8,17.2
Charlotte,Retail & Hospitality,19.1,80.9
Charlotte,Manufacturing,32.4,67.6
Charlotte,Logistics & Transportation,21.4,78.6
Charlotte,Construction,19.9,80.1
Charlotte,Education,94.9,5.1
Charlotte,Real Estate,42.4,57.6
Charlotte,Government,61.7,38.3
Charlotte,Energy & Utilities,57.6,42.4
Charlotte,Media & Entertainment,57.4,42.6
Charlotte,Non-Profit,72.3,27.7
DC,Government,64.7,35.3
DC,Professional Services,83.9,16.1
DC,Technology,83.9,16.1
DC,Healthcare,66.3,33.7
DC,Education,92.9,7.1
DC,Retail & Hospitality,15.0,85.0
DC,Financial Services,75.8,24.2
DC,Logistics & Transportation,24.9,75.1
DC,Non-Profit,67.0,33.0
DC,Real Estate,47.2,52.8
DC,Construction,17.8,82.2
DC,Media & Entertainment,55.2,44.8
Pittsburgh,Healthcare,67.0,33.0
Pittsburgh,Education,89.1,10.9
Pittsburgh,Technology,76.7,23.3
Pittsburgh,Professional Services,81.6,18.4
Pittsburgh,Retail & Hospitality,12.5,87.5
Pittsburgh,Manufacturing,35.5,64.5
Pittsburgh,Financial Services,77.1,22.9
Pittsburgh,Construction,21.6,78.4
Pittsburgh,Government,57.8,42.2
Pittsburgh,Logistics & Transportation,29.5,70.5
Pittsburgh,Energy & Utilities,57.4,42.6
Pittsburgh,Real Estate,45.5,54.5
Pittsburgh,Media & Entertainment,61.1,38.9
Pittsburgh,Non-Profit,69.2,30.8
Houston,Energy & Utilities,53.9,46.1
Houston,Healthcare,60.1,39.9
Houston,Manufacturing,39.1,60.9
Houston,Professional Services,80.9,19.1
Houston,Logistics & Transportation,23.2,76.8
Houston,Technology,84.5,15.5
Houston,Construction,24.5,75.5
Houston,Retail & Hospitality,15.7,84.3
Houston,Financial Services,76.3,23.7
Houston,Government,59.5,40.5
Houston,Education,87.9,12.1
Houston,Real Estate,43.3,56.7
Houston,Media & Entertainment,61.7,38.3
Houston,Non-Profit,72.5,27.5
