metro,sector,college_required_pct,no_college_required_pct
Charlotte,Financial Services,76.1,23.9
Charlotte,Healthcare,65.0,35.0
Charlotte,Technology,75.5,24.5
Charlotte,Professional Services,82.8,17.2
Charlotte,Retail & Hospitality,19.1,80.9
Charlotte,Manufacturing,32.4,67.6
Charlotte,Logistics & Transportation,21.4,78.6
Charlotte,Construction,19.9,80.1
Charlotte,Education,94.9,5.1
Charlotte,Real Estate,42.4,57.6
Charlotte,Government,61.7,38.3
Charlotte,Energy & Utilities,57.6,42.4
Charlotte,Media & Entertainment,57.4,42.6
Charlotte,Non-Profit,72.3,27.7
