metro,sector,annual_growth_rate_pct,five_year_earnings_growth_pct
Charlotte,Financial Services,2.88,15.3
Charlotte,Healthcare,4.98,27.5
Charlotte,Technology,8.52,50.5
Charlotte,Professional Services,3.67,19.7
Charlotte,Retail & Hospitality,2.36,12.4
Charlotte,Manufacturing,1.57,8.1
Charlotte,Logistics & Transportation,3.28,17.5
Charlotte,Construction,4.19,22.8
Charlotte,Education,1.97,10.2
Charlotte,Real Estate,2.75,14.5
Charlotte,Government,1.05,5.4
Charlotte,Energy & Utilities,1.97,10.2
Charlotte,Media & Entertainment,2.49,13.1
Charlotte,Non-Profit,2.62,13.8
