metro,sector,avg_salary,min_salary,max_salary,salary_spread
Charlotte,Financial Services,78750,49299,108200,58901
Charlotte,Healthcare,81900,47704,116095,68391
Charlotte,Technology,96600,44572,148627,104055
Charlotte,Professional Services,74550,43638,105461,61823
Charlotte,Retail & Hospitality,39900,21795,58004,36209
Charlotte,Manufacturing,56700,28882,84517,55635
Charlotte,Logistics & Transportation,60900,35155,86644,51489
Charlotte,Construction,58800,26791,90808,64017
Charlotte,Education,54600,24980,84219,59239
Charlotte,Real Estate,67200,40296,94103,53807
Charlotte,Government,71400,39309,103490,64181
Charlotte,Energy & Utilities,86100,50783,121416,70633
Charlotte,Media & Entertainment,57750,34247,81252,47005
Charlotte,Non-Profit,50400,32388,68411,36023
