metro,year,total_employees,new_hires,departures,net_growth,growth_rate_pct
Charlotte,2015,363750,63535,47528,16007,0.0
Charlotte,2016,379757,72744,57147,15597,4.11
Charlotte,2017,395354,65931,54977,10954,2.77
Charlotte,2018,406308,83644,63305,20339,5.01
Charlotte,2019,426647,47008,58439,-11431,-2.68
Charlotte,2020,415216,86461,65453,21008,5.06
Charlotte,2021,436224,74896,63457,11439,2.62
Charlotte,2022,447663,94096,74969,19127,4.27
Charlotte,2023,466790,84408,63250,21158,4.53
Charlotte,2024,487948,71491,70090,1401,0.29
