metro,sector,college_required_pct,no_college_required_pct
Houston,Energy & Utilities,53.9,46.1
Houston,Healthcare,60.1,39.9
Houston,Manufacturing,39.1,60.9
Houston,Professional Services,80.9,19.1
Houston,Logistics & Transportation,23.2,76.8
Houston,Technology,84.5,15.5
Houston,Construction,24.5,75.5
Houston,Retail & Hospitality,15.7,84.3
Houston,Financial Services,76.3,23.7
Houston,Government,59.5,40.5
Houston,Education,87.9,12.1
Houston,Real Estate,43.3,56.7
Houston,Media & Entertainment,61.7,38.3
Houston,Non-Profit,72.5,27.5
