metro,sector,annual_growth_rate_pct,five_year_earnings_growth_pct
Houston,Energy & Utilities,2.16,11.3
Houston,Healthcare,5.46,30.4
Houston,Manufacturing,1.72,8.9
Houston,Professional Services,4.02,21.8
Houston,Logistics & Transportation,3.59,19.3
Houston,Technology,9.34,56.3
Houston,Construction,4.6,25.2
Houston,Retail & Hospitality,2.59,13.6
Houston,Financial Services,3.16,16.8
Houston,Government,1.15,5.9
Houston,Education,2.16,11.3
Houston,Real Estate,3.02,16.0
Houston,Media & Entertainment,2.73,14.4
Houston,Non-Profit,2.87,15.2
