metro,year,total_employees,new_hires,departures,net_growth,growth_rate_pct
Houston,2015,487500,91745,78224,13521,0.0
Houston,2016,501021,97478,77522,19956,3.98
Houston,2017,520977,83758,69834,13924,2.67
Houston,2018,534901,93526,71336,22190,4.15
Houston,2019,557091,73787,88041,-14254,-2.56
Houston,2020,542837,111032,72148,38884,7.16
Houston,2021,581721,115414,94747,20667,3.55
Houston,2022,602388,112502,95327,17175,2.85
Houston,2023,619563,100705,82559,18146,2.93
Houston,2024,637709,86767,85066,1701,0.27
