metro,sector,college_required_pct,no_college_required_pct
Memphis,Logistics & Transportation,29.2,70.8
Memphis,Healthcare,60.9,39.1
Memphis,Manufacturing,32.0,68.0
Memphis,Retail & Hospitality,10.5,89.5
Memphis,Professional Services,83.3,16.7
Memphis,Technology,78.9,21.1
Memphis,Education,87.7,12.3
Memphis,Financial Services,78.3,21.7
Memphis,Construction,18.6,81.4
Memphis,Government,57.8,42.2
Memphis,Energy & Utilities,55.4,44.6
Memphis,Real Estate,41.4,58.6
Memphis,Media & Entertainment,63.0,37.0
Memphis,Non-Profit,65.7,34.3
