metro,sector,avg_salary,min_salary,max_salary,salary_spread
Memphis,Logistics & Transportation,53360,29399,77320,47921
Memphis,Healthcare,71760,46150,97369,51219
Memphis,Manufacturing,49680,23256,76103,52847
Memphis,Retail & Hospitality,34960,20914,49005,28091
Memphis,Professional Services,65320,33802,96837,63035
Memphis,Technology,84640,49739,119540,69801
Memphis,Education,47840,26119,69560,43441
Memphis,Financial Services,69000,37305,100694,63389
Memphis,Construction,51520,31583,71456,39873
Memphis,Government,62560,28532,96587,68055
Memphis,Energy & Utilities,75440,37340,113539,76199
Memphis,Real Estate,58880,27208,90551,63343
Memphis,Media & Entertainment,50600,23834,77365,53531
Memphis,Non-Profit,44160,23423,64896,41473
