metro,sector,annual_growth_rate_pct,five_year_earnings_growth_pct
Pittsburgh,Healthcare,3.61,19.4
Pittsburgh,Education,1.42,7.3
Pittsburgh,Technology,6.17,34.9
Pittsburgh,Professional Services,2.66,14.0
Pittsburgh,Retail & Hospitality,1.71,8.8
Pittsburgh,Manufacturing,1.14,5.8
Pittsburgh,Financial Services,2.09,10.9
Pittsburgh,Construction,3.04,16.2
Pittsburgh,Government,0.76,3.9
Pittsburgh,Logistics & Transportation,2.37,12.4
Pittsburgh,Energy & Utilities,1.42,7.3
Pittsburgh,Real Estate,1.99,10.4
Pittsburgh,Media & Entertainment,1.8,9.3
Pittsburgh,Non-Profit,1.9,9.9
