metro,year,total_employees,new_hires,departures,net_growth,growth_rate_pct
Pittsburgh,2015,228750,39989,34235,5754,0.0
Pittsburgh,2016,234504,37338,34926,2412,1.03
Pittsburgh,2017,236916,35359,32440,2919,1.23
Pittsburgh,2018,239835,37959,35340,2619,1.09
Pittsburgh,2019,242454,28208,35383,-7175,-2.96
Pittsburgh,2020,235279,45113,36382,8731,3.71
Pittsburgh,2021,244010,43794,37920,5874,2.41
Pittsburgh,2022,249884,37805,32937,4868,1.95
Pittsburgh,2023,254752,39980,36935,3045,1.2
Pittsburgh,2024,257797,40766,39967,799,0.31
